location,Bed,Bath,Ft,price
Texas,4.0,2.0,2188.0,373900.0
Texas,4.0,2.0,1941.0,358900.0
Texas,4.0,2.0,2160.0,384900.0
Texas,4.0,2.5,2258.0,342900.0
Texas,4.0,2.0,1778.0,288990.0
Texas,3.0,2.0,1958.0,364900.0
Texas,4.0,2.0,1750.0,318490.0
Texas,4.0,3.5,3435.0,558311.0
Texas,3.0,2.5,1676.0,239995.0
Texas,4.0,3.0,1812.0,249995.0
Texas,3.0,2.0,1682.0,291432.0
Texas,4.0,2.0,1820.0,308900.0
Texas,4.0,2.5,2109.0,360000.0
Texas,3.0,2.5,1778.0,369090.0
Texas,5.0,6.0,3686.0,502750.0
Texas,3.0,2.5,1778.0,375770.0
Texas,3.0,2.0,1800.0,299000.0
Texas,3.0,2.5,1936.0,399000.0
Texas,3.0,2.0,1500.0,261990.0
Texas,3.0,2.5,2051.0,399000.0
Texas,4.0,2.0,2020.0,325900.0
Texas,4.0,3.0,2200.0,344900.0
Texas,4.0,3.0,2041.0,349990.0
Texas,4.0,2.5,2472.0,347990.0
Texas,3.0,2.5,2160.0,499990.0
Texas,4.0,4.0,2579.0,539990.0
Texas,3.0,2.5,2160.0,519990.0
Texas,4.0,4.0,2679.0,549990.0
Texas,3.0,2.0,1571.0,239900.0
Texas,4.0,3.5,3436.0,568625.0
Texas,4.0,3.5,3435.0,558359.0
Texas,3.0,2.0,1571.0,239900.0
Texas,4.0,2.5,2513.0,355000.0
Texas,3.0,2.0,1915.0,315000.0
Texas,3.0,2.0,1614.0,299900.0
Texas,3.0,2.0,1717.0,307900.0
Texas,4.0,2.0,2057.0,371413.0
Texas,3.0,2.0,1717.0,300900.0
Texas,4.0,2.0,1820.0,312900.0
Texas,4.0,3.5,2486.0,384900.0
Texas,4.0,2.0,2152.0,469990.0
Texas,4.0,2.0,1832.0,328990.0
Texas,4.0,2.5,2596.0,308433.0
Texas,4.0,2.0,1542.0,249000.0
Texas,3.0,2.5,2004.0,286624.0
Texas,4.0,2.5,2507.0,350000.0
Texas,3.0,2.0,1631.0,262104.0
Texas,4.0,3.5,3158.0,489990.0
Texas,3.0,2.0,2200.0,402990.0
Texas,3.0,2.0,1974.0,379990.0
Texas,4.0,3.0,2150.0,410990.0
Texas,5.0,3.0,2832.0,389990.0
Texas,3.0,2.5,2004.0,274995.0
Texas,3.0,2.5,2372.0,287297.0
Texas,4.0,3.5,3109.0,481990.0
Texas,3.0,2.0,1932.0,322990.0
Texas,4.0,3.0,2012.0,327990.0
Texas,3.0,2.5,2220.0,339990.0
Texas,3.0,2.0,1786.0,309990.0
Texas,4.0,2.5,1785.0,299990.0
Texas,4.0,2.0,1521.0,279990.0
Texas,4.0,2.5,2003.0,319990.0
Texas,4.0,2.0,1582.0,286990.0
Texas,4.0,2.5,2178.0,328990.0
Texas,5.0,2.5,2439.0,345990.0
Texas,4.0,2.5,2260.0,332990.0
Texas,3.0,2.5,2160.0,454990.0
Texas,3.0,2.5,2160.0,459990.0
Texas,4.0,3.0,2557.0,419990.0
Texas,3.0,2.0,1875.0,389990.0
Texas,4.0,3.0,2582.0,454990.0
Texas,3.0,2.5,2160.0,449990.0
Texas,4.0,3.0,2557.0,489990.0
Texas,4.0,2.0,2020.0,311900.0
